cliente_id,frecuencia_compra,monto_total_gastado,monto_promedio_compra,dias_desde_ultima_compra,antiguedad_cliente_meses,canal_principal,numero_productos_distintos,fecha_reseña,producto_categoria,reseña_id,texto_reseña,longitud_reseña,cluster_clientes,cluster_reseñas
254,96.0,2511.61,1404.45,105.0,56.0,tienda física,37.0,2025-06-18,alimentos,254.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,27,0.0
255,55.0,18930.45,1092.02,45.0,87.0,tienda física,3.0,2025-06-06,ropa,255.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,19,4.0
256,99.0,16270.15,1253.84,346.5,124.0,call center,22.0,2025-06-08,alimentos,256.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,21,0.0
257,19.0,19038.62,761.21,57.0,0.0,móvil,32.0,2025-04-21,educacion,257.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,6,2.0
258,39.0,14373.02,1056.06,231.0,118.0,tienda física,30.0,2023-03-07,electronica,258.0,este producto electrónico ofrece un rendimiento estable aunq la batería podría mejorar con el uso diario,16,0,5.0
259,70.0,4627.44,6.34,93.0,30.0,web,7.0,2025-07-08,ropa,259.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,15,3.0
260,37.0,4634.8,1035.74,80.0,210.0,web,28.0,2025-08-04,salud,260.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,25,1.0
261,86.0,8818.45,781.23,168.0,82.0,móvil,27.0,2023-05-26,servicios,261.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,27,1.0
262,66.0,11152.39,1418.24,203.0,203.0,tienda física,22.0,2025-01-27,educacion,262.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,7,2.0
263,58.0,10250.34,241.11,320.0,111.0,móvil,21.0,2023-07-15,servicios,263.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,23,1.0
264,35.0,18940.77,287.25,306.0,193.0,móvil,24.0,2024-06-19,hogar,264.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales ..,18,26,4.0
265,76.0,12683.3,33.87,257.0,218.0,tienda física,1.0,2024-07-26,educacion,265.0,el contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido,14,23,2.0
266,82.0,9833.74,19.61,294.0,84.0,móvil,50.0,2023-10-13,educacion,266.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,3,2.0
267,11.0,19099.77,70.85,29.0,152.0,tienda física,35.0,2023-01-26,hogar,267.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,10,4.0
268,77.0,6338.48,1431.24,261.0,5.0,marketplace,25.0,,salud,268.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica ..,14,17,5.0
269,22.0,3681.77,1121.7,187.0,110.0,call center,49.0,2024-08-05,servicios,269.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,1,1.0
270,7.0,9594.74,1288.78,271.0,230.0,tienda física,9.0,2024-02-22,educacion,270.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,4,2.0
271,53.0,18794.24,122.22,346.5,15.0,web,21.0,2025-04-07,electronica,271.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,3,5.0
272,34.0,4475.23,836.39,13.0,103.0,call center,24.0,2023-03-18,salud,272.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo ..,16,12,1.0
273,84.0,14292.99,434.12,198.0,79.0,web,13.0,,salud,273.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,11,5.0
274,71.0,13306.85,389.14,114.0,136.0,tienda física,5.0,2025-10-02,ropa,274.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,11,4.0
275,17.0,13401.42,215.04,146.0,138.0,tienda física,23.0,2025-02-28,educacion,275.0,el  contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,10,2.0
276,54.0,13721.8,461.79,258.0,137.0,móvil,24.0,2025-11-22,hogar,276.0,cumple  su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,26,4.0
277,54.0,6921.6,854.28,20.0,210.0,tienda física,23.0,2023-11-17,educacion,277.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,7,2.0
278,26.0,18564.4,407.92,292.0,28.0,marketplace,13.0,2023-10-28,salud,278.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,20,5.0
279,37.0,13743.16,1095.16,79.0,76.0,call center,37.0,2025-09-30,educacion,279.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,6,2.0
280,11.0,974.11,1452.28,207.0,198.0,tienda física,2.0,,servicios,280.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,12,1.0
281,97.0,11629.41,1054.67,190.0,132.0,web,45.0,2024-09-04,educacion,281.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,13,2.0
282,6.0,11380.43,753.39,320.0,133.0,móvil,46.0,2023-06-05,servicios,282.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,1,1.0
283,3.0,1670.58,821.61,337.0,14.0,tienda física,2.0,2024-12-09,hogar,283.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,5,4.0
284,62.0,18449.36,1080.66,337.0,35.0,tienda física,7.0,2024-08-14,ropa,284.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,21,4.0
285,16.0,4189.54,770.49,99.0,118.0,móvil,19.0,2023-11-27,hogar,285.0,cumple  su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,12,4.0
286,38.0,14037.3,623.5,240.0,90.0,marketplace,43.0,2024-06-23,educacion,286.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,3,2.0
287,14.0,10376.97,142.63,84.0,17.0,tienda física,29.0,2024-07-27,alimentos,287.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,15,3.0
288,89.0,3369.4,1401.38,279.0,39.0,marketplace,29.0,2024-04-19,electronica,288.0,este producto electrónico ofrece un rendimiento estable aunq la batería podría mejorar con el uso diario,16,17,5.0
289,75.0,13048.13,1106.21,93.0,82.0,tienda física,32.0,2024-08-11,educacion,289.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,27,2.0
290,4.0,4688.0,556.32,172.0,19.0,call center,32.0,2025-03-25,ropa,290.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,1,3.0
291,38.0,15162.21,1127.81,187.0,55.0,móvil,34.0,2025-12-04,hogar,291.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,0,4.0
292,53.0,1275.92,1235.8,334.0,161.0,móvil,39.0,2025-03-16,educacion,292.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,9,2.0
293,13.0,10606.5,34.49,36.0,15.0,web,11.0,2024-12-21,educacion,293.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,15,2.0
294,70.0,792.8,458.76,114.0,118.0,web,43.0,2023-08-19,ropa,294.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,14,4.0
295,0.0,10388.75,390.47,4.0,171.0,marketplace,26.0,2023-10-17,salud,295.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,10,5.0
296,14.0,2075.28,169.42,346.5,30.0,tienda física,43.0,2023-02-02,salud,296.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,24,5.0
297,67.0,1216.91,978.67,116.0,127.0,móvil,47.0,2024-06-26,servicios,297.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,25,1.0
298,31.0,19627.22,1343.41,207.0,210.0,tienda física,44.0,2025-05-24,salud,298.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,16,5.0
299,75.0,18293.53,1467.14,239.0,26.0,web,20.0,2025-11-29,alimentos,299.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,21,0.0
300,31.0,1433.76,1037.08,284.0,39.0,tienda física,22.0,2025-08-22,educacion,300.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,5,2.0
301,83.0,7178.48,403.49,213.0,121.0,web,49.0,2025-01-21,electronica,301.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,13,5.0
302,11.0,1002.68,233.23,165.0,162.0,tienda física,36.0,2024-05-15,servicios,302.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,18,1.0
303,89.0,19183.64,1047.23,44.0,91.0,tienda física,16.0,2024-01-27,electronica,303.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,19,5.0
304,8.0,5917.15,920.68,61.0,59.0,móvil,27.5,2024-02-07,hogar,304.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,12,4.0
305,45.0,10388.75,781.23,96.0,87.0,marketplace,47.0,2023-01-11,salud,305.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica ..,14,6,5.0
306,8.0,8538.15,690.54,146.0,150.0,marketplace,11.0,2024-12-18,electronica,306.0,la  interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,12,5.0
307,33.0,3810.43,9.32,129.0,119.0,call center,27.5,2025-03-26,ropa,307.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,18,3.0
308,1.0,13057.78,640.56,142.0,118.0,tienda física,19.0,2025-11-16,servicios,308.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,20,1.0
309,72.0,10523.44,1349.82,45.0,118.0,tienda física,8.0,2024-10-30,educacion,309.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido ..,15,19,2.0
310,86.0,16733.15,1365.54,174.0,173.0,web,45.0,2024-11-16,educacion,310.0,el contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido,14,22,2.0
311,55.0,5652.02,54.25,182.0,87.0,móvil,33.0,2025-11-11,electronica,311.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,24,5.0
312,94.0,4068.26,129.05,64.0,233.0,tienda física,26.0,2024-10-10,electronica,312.0,este  producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,14,5.0
313,45.0,4875.51,225.34,7.0,118.0,marketplace,45.0,,salud,313.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,14,5.0
314,97.0,6450.95,734.6,1.0,89.0,móvil,32.0,2024-08-29,ropa,314.0,el  diseño es atractivo y el color coincide con lo esperado después de varios usos,15,27,3.0
315,97.0,11806.42,1196.9,179.0,48.0,tienda física,11.0,2025-05-24,ropa,315.0,la  prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,19,4.0
316,95.0,1214.06,662.87,134.0,105.0,web,28.0,2025-06-08,alimentos,316.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,14,3.0
317,47.0,16468.96,1128.12,69.0,205.0,marketplace,3.0,2023-02-09,alimentos,317.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura ..,14,7,3.0
318,49.0,12562.5,149.46,158.0,88.0,tienda física,19.0,2024-09-15,salud,318.0,las instalaciones están limpias yyy el personal explica los procedimientos de forma básica,13,11,5.0
319,67.0,18074.7,781.23,135.0,108.0,call center,42.0,2024-03-14,servicios,319.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,22,1.0
320,53.0,7405.37,1377.55,89.0,128.0,call center,49.0,2024-05-29,alimentos,320.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,25,3.0
321,75.0,16755.88,501.59,135.0,178.0,web,46.0,2023-05-24,salud,321.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,22,5.0
322,75.0,5718.6,995.37,336.0,111.0,tienda física,45.0,,ropa,322.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,13,4.0
323,30.0,15097.72,1055.18,147.0,191.0,web,1.0,2023-10-25,electronica,323.0,la interfaz es intuitiva y el dispositivo responde muuy en tareas comunes y prolongadas,14,4,5.0
324,19.0,12562.56,790.94,76.0,143.0,marketplace,35.0,2023-12-05,educacion,324.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,10,2.0
325,93.0,15327.45,890.18,343.0,202.0,marketplace,10.0,,salud,325.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,23,1.0
326,24.0,6933.19,679.77,187.0,109.0,tienda física,33.0,2023-04-18,servicios,326.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,1,1.0
327,18.0,2093.29,367.89,140.0,25.0,móvil,23.0,2025-09-29,hogar,327.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,15,4.0
328,72.0,14149.96,894.22,129.0,61.0,call center,1.0,,ropa,328.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,19,4.0
329,44.0,2653.25,287.09,118.0,50.0,call center,32.0,2024-03-16,electronica,329.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,15,5.0
330,60.0,16516.35,1152.3,187.0,22.0,tienda física,32.0,2024-12-21,servicios,330.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,21,1.0
331,62.0,827.29,897.19,1.0,93.0,call center,40.0,2024-11-28,ropa,331.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,25,4.0
332,19.0,12126.53,792.25,225.0,113.0,call center,48.0,2024-08-29,alimentos,332.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,1,0.0
333,67.0,11959.67,304.28,284.0,80.0,web,12.0,,salud,333.0,la  atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,23,1.0
334,64.0,8147.07,481.47,346.5,35.0,call center,43.0,,salud,334.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,24,1.0
335,32.0,14651.86,991.46,0.0,77.0,call center,32.0,2023-04-28,hogar,335.0,cumple  su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,6,4.0
336,67.0,18033.53,879.41,324.0,64.0,tienda física,34.0,2024-05-25,alimentos,336.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,21,0.0
337,35.0,3687.57,526.67,100.0,150.0,web,26.0,2024-03-15,servicios,337.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,18,1.0
338,52.0,5748.33,621.26,187.0,185.0,call center,22.0,,servicios,338.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,18,1.0
339,5.0,17975.98,1152.87,111.0,76.0,call center,22.0,2024-02-25,educacion,339.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,6,2.0
340,58.0,18083.68,1252.84,149.0,96.0,marketplace,17.0,2023-09-19,ropa,340.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,19,3.0
341,51.0,2111.27,707.17,316.0,118.0,tienda física,45.0,2024-09-09,educacion,341.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,13,2.0
342,81.0,1577.6,902.74,202.0,38.0,call center,1.0,2024-01-14,alimentos,342.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,8,0.0
343,6.0,19465.17,727.84,97.0,120.0,móvil,26.0,2023-04-07,electronica,343.0,este producto electrónico ofrece un rendimiento estable aunq la batería podría mejorar con el uso diario,16,10,5.0
344,52.0,13906.27,661.99,338.0,171.0,tienda física,46.0,2025-08-31,ropa,344.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,26,3.0
345,82.0,15163.62,332.26,187.0,210.0,tienda física,20.0,2024-02-11,salud,345.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,23,1.0
346,36.0,4512.09,1329.57,112.0,118.0,tienda física,23.0,2023-11-01,ropa,346.0,la prenda es cómoda yyy la tela se siente agradable aunque la talla puede variar un poco,17,12,4.0
347,80.0,14665.45,795.46,224.0,74.0,call center,10.0,2024-04-23,ropa,347.0,el diseño es atractivo yyy el color coincide con lo esperado después de varios usos,15,19,3.0
348,41.0,5182.93,1251.97,223.0,73.0,móvil,5.0,2023-11-09,electronica,348.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,8,5.0
349,78.0,2607.34,533.0,33.0,91.0,móvil,17.0,2025-04-29,electronica,349.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,15,5.0
350,53.0,13296.82,702.79,342.0,234.0,móvil,24.0,2023-11-06,alimentos,350.0,el  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,26,0.0
351,4.0,16598.29,781.23,222.0,115.0,tienda física,19.0,2024-12-06,alimentos,351.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura ..,14,20,3.0
352,5.0,1876.8,87.24,218.0,138.0,móvil,16.0,2025-01-26,hogar,352.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,18,4.0
353,92.0,14179.11,348.3,61.0,66.0,web,16.0,2023-09-29,alimentos,353.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,11,0.0
354,7.0,9460.11,822.9,271.0,45.0,call center,37.0,2025-09-10,salud,354.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,1,5.0
355,88.0,8655.5,544.2,103.0,49.0,call center,39.0,2023-09-13,alimentos,355.0,el producto alimenticio viene bien empacado yyy cumple con lo básico para el consumo diario,15,27,0.0
356,44.0,8159.91,233.79,119.0,177.0,web,6.0,2023-05-01,servicios,356.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,18,1.0
357,15.0,16812.85,699.42,222.0,187.0,móvil,41.0,2023-05-01,salud,357.0,las  instalaciones están limpias y el personal explica los procedimientos de forma básica,13,16,5.0
358,84.0,18628.08,1497.91,7.0,39.0,móvil,17.0,2023-02-11,hogar,358.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,19,4.0
359,86.0,10237.41,466.33,346.5,41.0,marketplace,24.0,2023-12-07,alimentos,359.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,24,0.0
360,55.0,10328.16,475.97,146.0,213.0,tienda física,10.0,2024-09-15,alimentos,360.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,7,3.0
361,24.0,12640.51,145.52,290.0,139.0,call center,50.0,2024-03-30,ropa,361.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,3,4.0
362,83.0,14460.47,926.08,188.0,76.0,móvil,40.0,2024-07-14,salud,362.0,las  instalaciones están limpias y el personal explica los procedimientos de forma básica,13,27,5.0
363,3.0,15352.01,781.23,151.0,185.0,tienda física,26.0,2025-07-06,servicios,363.0,el  servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,4,1.0
364,76.0,13128.47,881.63,120.0,149.0,web,45.0,2025-09-14,hogar,364.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,22,4.0
365,19.0,16257.72,489.64,93.0,15.0,web,27.5,2023-06-17,ropa,365.0,la  prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,6,4.0
366,18.0,14206.2,688.4,109.0,33.0,web,40.0,2025-09-09,alimentos,366.0,el producto alimenticio viene bien empacado yyy cumple con lo básico para el consumo diario,15,6,0.0
367,66.0,951.16,184.26,274.0,224.0,web,14.0,2025-03-13,servicios,367.0,la  experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,2,1.0
368,41.0,7312.58,535.01,225.0,14.0,tienda física,4.0,2023-05-16,educacion,368.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,5,2.0
369,93.0,1905.59,265.5,291.0,48.0,web,22.0,2024-11-23,hogar,369.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,24,4.0
370,85.0,4194.35,1168.56,254.0,149.0,tienda física,3.0,2023-12-15,educacion,370.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,8,2.0
371,94.0,18836.68,380.83,286.0,59.0,web,41.0,2024-02-16,servicios,371.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,3,1.0
372,50.0,7603.36,1227.25,235.0,118.0,web,22.0,2024-11-03,electronica,372.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,8,5.0
373,95.0,13958.29,805.11,152.0,51.0,call center,35.0,2023-07-19,ropa,373.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,27,3.0
374,92.0,17126.48,404.23,118.0,201.0,call center,26.0,2024-07-27,alimentos,374.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,22,3.0
375,1.0,10603.09,603.08,96.0,22.0,tienda física,5.0,2024-04-05,alimentos,375.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,20,3.0
376,92.0,7264.55,29.15,72.0,142.0,móvil,47.0,2025-04-18,alimentos,376.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,14,3.0
377,47.0,18024.55,1078.67,250.0,75.0,call center,43.0,2024-08-28,educacion,377.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,21,2.0
378,87.0,5896.37,1496.4,141.0,95.0,móvil,10.0,2023-11-19,alimentos,378.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,8,3.0
379,67.0,15343.2,781.23,209.0,72.0,call center,12.0,2023-05-22,educacion,379.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,19,2.0
380,91.0,6931.85,1395.13,246.0,127.0,tienda física,35.0,2023-01-15,alimentos,380.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,13,3.0
381,70.0,6057.82,779.21,311.0,143.0,tienda física,29.0,2023-02-09,electronica,381.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,13,5.0
382,53.0,7520.36,1045.69,144.0,17.0,call center,14.0,2023-12-01,ropa,382.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,19,3.0
383,28.0,2125.57,1115.31,346.5,49.0,tienda física,3.0,2024-05-16,alimentos,383.0,el  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,5,0.0
384,13.0,11511.51,393.15,244.0,211.0,móvil,3.0,,educacion,384.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,4,2.0
385,89.0,5320.31,1190.56,77.0,223.0,call center,8.0,2024-03-25,educacion,385.0,la  metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,7,2.0
386,41.0,4416.08,994.93,152.0,68.0,tienda física,49.0,2023-11-21,hogar,386.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,1,4.0
387,32.0,2980.72,740.66,294.0,222.0,web,48.0,2023-06-13,alimentos,387.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,9,3.0
388,53.0,18275.91,309.7,50.0,178.0,tienda física,44.0,2024-03-30,electronica,388.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,22,5.0
389,14.0,12048.18,1320.13,132.0,15.0,web,32.0,2024-06-25,alimentos,389.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,6,0.0
390,29.0,13185.07,1245.94,220.0,194.0,móvil,14.0,2025-11-20,hogar,390.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,4,4.0
391,34.0,7102.91,911.43,331.0,44.0,móvil,18.0,2023-02-12,hogar,391.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales ..,18,5,4.0
392,20.0,2027.13,508.78,155.0,218.0,marketplace,33.0,2025-08-07,ropa,392.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,18,4.0
393,59.0,15550.45,1492.74,117.0,83.0,marketplace,7.0,,electronica,393.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,19,5.0
394,40.0,5045.45,628.07,208.0,194.0,call center,20.0,2025-06-23,alimentos,394.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,18,0.0
395,64.0,10360.56,779.01,273.0,196.0,web,26.0,2025-04-25,alimentos,395.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,26,3.0
396,11.0,8280.51,1091.58,336.0,20.0,marketplace,13.0,,hogar,396.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,5,4.0
397,42.0,19014.79,177.19,346.0,138.0,marketplace,11.0,2024-03-25,servicios,397.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,23,1.0
398,5.0,13389.4,1214.55,237.0,80.0,web,25.0,2024-02-12,hogar,398.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,0,4.0
399,100.0,16879.56,1439.18,183.0,60.0,marketplace,26.0,2024-09-30,educacion,399.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,21,2.0
400,59.0,11934.72,79.66,342.0,218.0,call center,30.0,2024-07-02,educacion,400.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,26,2.0
401,89.0,10388.75,480.24,23.0,60.0,marketplace,40.0,2023-12-29,ropa,401.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco ..,18,27,4.0
402,54.0,18531.47,1009.68,83.0,49.0,web,37.0,2024-08-12,educacion,402.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,6,2.0
403,48.0,11376.44,862.5,249.0,200.0,tienda física,29.0,2025-08-11,electronica,403.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,26,5.0
404,47.0,3797.23,897.97,52.0,199.0,tienda física,31.0,2025-10-09,ropa,404.0,el diseño es atractivo yyy el color coincide con lo esperado después de varios usos,15,25,3.0
405,79.0,16740.68,822.83,301.0,118.0,call center,27.0,2025-05-14,salud,405.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,21,1.0
406,84.0,17768.19,1026.79,268.0,88.0,móvil,32.0,,alimentos,406.0,el  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,21,0.0
407,31.0,5598.96,826.15,305.0,124.0,call center,36.0,2024-01-15,servicios,407.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,9,1.0
408,79.0,3952.35,1045.06,319.0,118.0,marketplace,19.0,2025-03-19,hogar,408.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,8,4.0
409,4.0,4544.46,781.23,214.0,10.0,móvil,18.0,2024-04-07,educacion,409.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,5,2.0
410,69.0,3819.62,1347.0,203.0,1.0,web,26.0,2024-09-30,electronica,410.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,17,5.0
